sensor_1,1547718199,35.8
sensor_6,1547718201,15.4
sensor_7,1547718202,6.7
sensor_10,1547718205,38.1
sensor_1,1547718206,32
sensor_1,1547718209,36.2
sensor_1,1547718210,29.7
sensor_1,1547718213,30.9
sensor_1,1547718214,30.9
sensor_1,1547718215,17.9
sensor_1,1547718217,30.9
sensor_1,1547718218,30.9
sensor_1,1547718216,30.9
sensor_1,1547718212,28.1
sensor_1,1547718225,29
sensor_1,1547718228,32.3
sensor_1,1547718232,19.5
sensor_1,1547718234,19.5
sensor_1,1547718285,19.5
sensor_1,1547718224,20.5
sensor_1,1547718388,19.5
sensor_1,1547718113,30
